City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
666,Fremont,US,77.0,clear sky,37.55,-121.99,Best Western Plus Garden Court Inn
667,Portobelo,PA,88.0,light rain,9.55,-79.65,Scuba Portobelo
668,Ixtapa,MX,88.0,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
669,Sibu,MY,77.0,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
674,Katherine,AU,75.2,scattered clouds,-14.47,132.27,Pine Tree Motel
681,Alcudia,ES,80.6,clear sky,39.85,3.12,Zafiro Tropic
683,Conde,BR,84.2,broken clouds,-7.26,-34.91,Pousada Beija Flor
685,Kampong Cham,KH,79.95,overcast clouds,11.99,105.46,7 Makara Hotel
687,Coracao De Maria,BR,82.36,scattered clouds,-12.23,-38.75,Pousada de Dona Bó
690,Buriti Alegre,BR,90.5,few clouds,-18.14,-49.04,Andrey Hotel Churrascaria
692,Porto Torres,IT,84.2,clear sky,40.84,8.4,Hotel Elisa
695,Kilindoni,TZ,75.99,clear sky,-7.91,39.67,Bustani B&B
699,Tuy Hoa,VN,78.69,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
701,Tabas,IR,89.6,clear sky,33.6,56.92,شرکت معماری مهراز شایگان آراد
707,Mkuranga,TZ,75.2,few clouds,-7.12,39.21,MKWAWA LODGE
709,Daur,PK,87.8,overcast clouds,26.46,68.32,Ramzan malik home
710,Fos-Sur-Mer,FR,80.6,clear sky,43.44,4.94,Ariane Hotel
